  0.31	  -1.80	  10.11	 37.50	 -15.75	   7.65
  0.47	  -1.80	   9.65	 35.40	 -16.05	   8.40
  0.47	  -1.80	   9.65	 36.45	 -15.00	  11.10
  0.00	  -0.11	   9.95	 33.90	 -16.80	  12.90
  0.00	  -0.11	   9.95	 32.85	 -16.20	  12.00
  0.15	  -0.11	  10.11	 36.00	 -18.00	  11.85
  0.15	  -0.11	  10.11	 32.40	 -18.00	  11.10
 -0.31	  -0.27	   9.95	 30.90	 -21.30	  12.15
 -0.31	  -0.27	   9.95	 29.25	 -22.20	  13.80
 -0.61	   0.04	   9.96	 27.30	 -21.45	  16.05
 -0.61	   0.04	   9.96	 27.75	 -24.45	  13.05
 -0.46	   0.19	  10.11	 23.55	 -25.20	  12.75
 -0.46	   0.19	  10.11	 22.65	 -28.05	  13.65
 -0.61	   0.50	   9.96	 21.30	 -26.40	  14.55
 -0.61	   0.50	   9.96	 17.10	 -30.30	  12.45
 -0.61	  -0.42	   9.96	 12.75	 -31.95	  11.25
 -0.61	  -0.42	   9.96	  8.10	 -31.50	  12.15
 -0.92	  -0.73	   9.96	  1.35	 -30.75	   8.10
 -0.92	  -0.73	   9.96	 -1.05	 -29.55	   9.90
 -0.92	  -0.73	   9.96	 -4.95	 -30.15	   8.70
 -0.92	  -0.73	   9.96	 -5.55	 -28.05	  10.65
 -0.92	  -0.57	   9.96	-10.05	 -27.30	  10.65
 -0.92	  -0.57	   9.96	-12.75	 -25.20	   9.30
 -1.22	  -0.42	   9.80	-15.75	 -22.95	  10.80
 -1.22	  -0.42	   9.80	-18.75	 -19.95	  11.55
 -0.92	  -0.42	   9.96	-19.35	 -18.75	  10.65
 -0.92	  -0.42	   9.96	-19.50	 -16.20	  10.80
 -1.07	  -0.42	   9.96	-22.80	 -11.70	  14.25
 -1.07	  -0.42	   9.96	-24.75	 -10.20	  13.80
 -1.07	  -0.73	   9.96	-24.75	  -7.20	  12.30
 -1.07	  -0.73	   9.96	-25.50	  -8.70	  12.30
 -1.22	  -1.03	   9.80	-26.25	  -5.70	  11.55
 -1.22	  -1.03	   9.80	-25.50	  -4.95	  12.30
 -0.92	  -0.58	   9.19	-25.80	  -4.95	  13.50
 -0.92	  -0.58	   9.19	-26.70	   0.75	  13.65
 -0.92	  -0.88	   9.96	-25.20	   2.55	  15.45
 -0.92	  -0.88	   9.96	-27.00	   5.70	  14.55
 -0.92	  -0.42	   9.96	-27.30	   5.40	  16.05
 -0.92	  -0.42	   9.96	-24.75	  10.95	  16.35
 -0.77	  -0.11	   9.96	-25.05	  11.70	  18.30
 -0.77	  -0.11	   9.96	-26.55	  10.95	  17.85
 -0.61	   0.50	  10.11	-26.55	  11.40	  16.35
 -0.61	   0.50	  10.11	-25.80	  10.95	  17.85
 -0.61	   0.50	  10.11	-25.20	  13.05	  16.95
 -0.61	   0.50	  10.11	-25.05	  14.70	  19.80
 -0.31	   0.19	   9.95	-22.50	  16.65	  18.60
 -0.31	   0.19	   9.95	-24.75	  16.20	  19.80
 -0.46	   0.04	  10.26	-25.95	  15.75	  17.70
 -0.46	   0.04	  10.26	-24.75	  19.65	  19.35
 -0.00	   0.19	   9.95	-22.65	  23.25	  19.50
 -0.00	   0.19	   9.95	-19.80	  24.45	  20.85
 -0.15	   0.19	   9.95	-15.60	  28.50	  20.25
 -0.15	   0.19	   9.95	 -9.45	  33.90	  23.40
  0.30	   0.50	  10.11	 -4.35	  37.05	  19.95
  0.30	   0.50	  10.11	 -1.65	  36.45	  18.30
  1.07	  -0.42	   9.95	  4.65	  35.40	  21.60
  1.07	  -0.42	   9.95	  4.95	  34.65	  23.85
  1.23	  -0.88	   9.95	  7.20	  33.90	  23.40
  1.23	  -0.88	   9.95	  8.85	  33.00	  23.25
  1.38	  -0.57	   9.49	 12.00	  35.40	  21.90
  1.38	  -0.57	   9.49	 12.75	  32.40	  23.40
  1.84	  -0.88	   9.95	 14.10	  33.75	  21.75
